Bezeichnung,Bestell-Nr,Teile-Nr
Reflektor-Tiefziehteil,60070127,
Kabelbaumsatz Gehäuse,60058416,
Oberteil Rahmen,60040752,
Rahmen schwarz,60058900,
Gehäuse mit Sockel,60061057,
Zylinderschloss,60002995,
Taste “Teil”,60062129,
Taste “Level”,60061062,
Taste “Start”,60053471,
Taste “Risiko 1:1”,60053469,
Frontscheibe ALEX,60071416,
Akzeptorblende mit Stern,60058401,
Sternbeleuchtung,60059391,
,,
GEHAEUSE,60036269,
MUENZEINLAUF KPL'98,60030218,
MUENZEINHEIT O. MP,60036995,
MUENZPRUEFER WH EMP 900.13,60034819,
MUENZPRUEFER WH EMP 900.13 AT,55005868,
MUENZSPEICHER FUN,60036281,
SCHWENKEINHEIT,60031497,
SOCKEL f. SCHALTNETZTEIL,60033407,
SCHLOSS OVAL 13X24,60002995,
SCHLOSSBLENDE 98,60030324,
TASTE START,60035983,
TASTE 'AUSGABE WSM',60035986,
TASTE "RISIKO (2x),60035985,
TASTE blanko (5x),60035984,
TASTE ANNAHME,60035982,
SCHUTZHAUBE MONITOR,60032802,
TASTE HILFE,60035981,
MUENZEINWURF KPL F. ANSCHALTEINHEIT PANO,60028669,
FRONTSCHEIBE FUN CITY,60035987,
BLENDE AKZEPTOROEFFNUNG SCHWARZ KPL.,60004273,
RAHMEN SCHWARZ '9,60030167,
,,
60009955,NETZANSCHLUSSEINHEIT,
60008429,TV RAHMEN,
60030125,AUFNAHMEZAPFEN,
60008438,TV-VERRIEGELUNG,
60028483,AUFNAHMEBLECH,
55000661,CHASSIS VCC 93/100,
55000662,CHASSIS VCC 93/100 AT,
60036273,MÜNZVERTEILER,
60029883,ADAPTERPLATINE SCHACHTWEICHE,
60009050,STEUEREINHEIT AT,
60010559,VIDEOCONTROLLER AT,
60032622,DATENBANK AT,
60021811,MUENZSCHACHT ROT,
60032787,STROMVERSORGUNG Schaltnetzteil AT,
60030668,VERTEILERPLATINE,
60032580,LAMPENTREIBERPLATINE SMD AT,
60008435,SICHERUNGSPLATINE,
60004413,REGLERPLATINE,
60008425,TRAFO,
60035969,SERIENPLANPLATINE,
60035972,TASTENVERBINDUNGSPLATINE,
60035965,LEITER LINKS,
60035966,LEITER RECHTS,
60036491,MONITOR KORTEK,
60004801,MONITOR A36 EAM 40x01 (VALVO),
60035964,ANZEIGEPLATINE,
60009563,LAUTSPRECHER 8 OHM 15W,
50090063,GELDSCHEINAKZEPTOR STANDARD,
60022064 GELDSCHEINAKZEPTOR KOMPAKT,
60026934,L-RÖHRENADAPTER,
60036271,LAUTSPRECHERPLATINE,
60036296,KABELBAUMSATZ GEHAEUSE,
60032896,KASSE WSM,
60032946,KASSE GEN.,
,,
