Bauartnummer;Bauartname;Spielname;Datum;Zulassungsinhaber;Fehler;TR-Version;ZL-Daten
860;Money Pur;;1997;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
863;Rototron Ultra Play;;1997;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
865;Crown Attraction;;1998;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
868;Magic;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
870;Golden Fifty;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
871;Scala;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
873;BW004;Rototron King Play;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
874;Venus Optimus;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
876;Triomint Casino Royale;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
877;Ultra Game;;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
879;Astro Money;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
880;Scala Pur;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
881;Money Acion;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
882;Castello;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
883;Big Run II;;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
884;Rototron Pasa;;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
885;Optimus Pur;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
886;Logo Venus;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
888;Tai Pan Money;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
891;Unimint Arena;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
892;Crown Maxi Fighter;;1998;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
893;Double Play;;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
894;BW020;Rototron Super Jump II;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
896;Marilyn;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
899;BW037;Rototron Sun Game;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
900;BW010;Rototron King Royal;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
902;BW008;Rototron Ultra Time;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
903;Venus Castello II;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
904;BW015;Rototron Summerking Classic;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
905;King Classic XL;;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
906;Maxi Step;;1998;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
907;Glücks-Stern;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
908;Marilyn Pur;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
910;Maxi Gold;;1998;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
911;Triomint Safari II Gold;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
914;BW012;Rototron Rex Super;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
915;Disco;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
917;Triomint Kicker;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
918;BW018;Rototron Round Runner;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
921;Triomint Saga;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
922;Granada;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
923;Triple K;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
924;Golden Noble House;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
926;Rototron Trianon;;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
927;Quick Step;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
928;Rototron Turnier CL;;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
929;Rotamint Tango Gold;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
930;BW014;Rototron Happy Risc XL;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
931;Rototron Golden Sun XL;;1998;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
932;City Tower;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
933;Unimint Jamaica;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
934;Borussia M'gladbach;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
935;Brisant;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8001
936;Showdown;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8000
938;Happy;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0004
939;Castell;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0002
942;Unimint Corrida;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
943;Happy Pur;;1998;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0004
945;Triomint American Dream;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
946;Triomint Majesto;;1998;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
947;Panther Gib Gummi;;1999;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
948;BW016;Rototron Kingdom;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
949;Bravo;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8005
951;Colorado;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
952;Crown Super Fighter;;1999;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
954;BW037;Rototron Bull Play;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
955;Triomint Cash Casino;;1999;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
957;Gamebox Jet Set;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
959;Twinliner;;1999;Playmont Flip-Inn Spielautomaten Service- und Handels GmbH, 34117 Kassel, Deutschland;;TR;
963;BW027;Rototron Primus;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
964;BW033;Rototron Regent;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
965;Panther Robin;;1999;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
967;Smily;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
968;Magic Chance;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
970;Feuerwerk;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
971;BW005;Gamebox Sunset;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
976;Crown Maxi Step G;;1999;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
977;Phönix;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
978;BW041;Rototron Windsor;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
979;Rototron Short Risc;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
982;Rototron Triple Jump;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
983;Rotamint Duplex;;1999;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
984;Sonnenfreaks;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0021
985;BW032;Rototron Krone Royal;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
986;Rototron Easy Rider;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
987;Golden Sunny;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
990;Rototron Fun Risc;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
991;Olymp;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8013
993;Triple Poker;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0025
997;Fifty Fifty;;1999;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
998;BW017;Rototron Herold;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
9990;Rototron Sun Play;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1000;Rototron Baron;;1999;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1001;Triomint Voodoo;;1999;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1002;Rotamint Gold;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1005;Super Take Off;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1007;Ariston Planet;;2000;Ariston Apparatebau GmbH, 42551 Velbert, Deutschland;;TR;
1008;BW047;Rototron Royal Hero;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1009;Smily;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1010;Rototron Triple Krone;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1013;PUR PUR ROYAL;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1014;SUPER ACTION;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0037
1015;TWINLINER ROYAL;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1016;TRIOMINT TRITON;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1017;TRIOMINT TRITON E;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1018;CROWN STAR;;2000;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1021;HIGHLIGHT WINNER;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0041
1022;MAXI ACTION II;;2000;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1023;PALACE;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0045
1025;AKZENT;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1027;BW046;ROTOTRON ARTHUS CD;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1028;ARISTON GALAXY;;2000;Ariston Apparatebau GmbH, 42551 Velbert, Deutschland;;TR;
1029;FOCUS;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0050
1030;ROTOTRON HARLEKIN;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1031;CROWN STAR II;;2000;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1032;MERKUR 2000;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0051
1034;NEON;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1035;TRIOMINT MILLENIUM;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1036;ROTOTRON THRILLER;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1037;BW057;ROTOTRON KING CHANCE;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1038;ROTOTRON BIG JACK;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1039;SUPER TAKE OFF E;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1041;PANTHER HIGHWAY;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1044;TRIOMINT DIABLO;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1045;PANTHER HIGHWAY E;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1046;ROTOTRON LORD;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1047;BW042;ROTOTRON MAGIC SEVEN;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1048;CROWN 7A;;2000;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1051;TRIOMINT DIABLO E;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1052;BUNGEE;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8021
1053;SAPHIR;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8031
1054;ROTOTRON SURFER;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1056;SURFER I;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1058;SURFER II;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1059;ROTOTRON KRONE;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1060;TRIOMINT CASINO DELUXE XL E;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1061;ROTOTRON ROYAL TIGER;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1062;TURBO DISC;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0063
1063;LEVEL FOUR;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1064;BW035;GAMEBOX SUNFIRE;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1065;TRIOMINT TRITON EUROFIGHTER;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1066;PALACE EURO;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0045
1070;SPACE STAR;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0054
1074;EVEREST;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1076;BW053;ROTOTRON SUPER MAC;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1077;YUPPIE;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8027
1078;TOP TEN;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1081;MAXI ACTION III;;2000;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1084;ULTRA SWING;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1086;GOLDEN TIMES;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1087;DELPHI;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1088;PANTHER BIG CITY E;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1089;KICK;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1090;BW044;ROTOTRON ROYAL RISIKO;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1091;BUNGEE G;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8021
1093;ROTOTRON TWISTER;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1094;ROTOTRON IRON SWORD;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1096;ROTOTRON POKER PLAY;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1097;PRIMA VERA G;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0079
1098;BW115;BEACH CLUB;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1099;ROTOTRON LANZELOT;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1100;PANTHER EURO GOLD;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1101;SAPHIR G;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8031
1102;CROWN CALIBRE;;2000;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1103;GARANT G;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0081
1105;PANTHER BIG ACTION 3000 E;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1107;BW073;ROTOTRON MONARCH;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1108;POWER MAXI;;2000;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1109;TRIOMINT GOLDFINGER E;;2000;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1110;ROTOTRON DIPLOMAT;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1111;ROTOTRON ULTRA SUN;;2000;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1112;SONNENFUERST G;;2000;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0085
1113;SUPER MAXI;;2001;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1114;PANTHER SUPER XMAX E;;2001;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1115;SAPHIR EURO;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8031
1116;SUPER MULTI G;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1117;JO-JO;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1118;STRIKE;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8026
1119;MEGA X;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8036
1120;MEGA TURBO SUNNY;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8038
1123;TRIOMINT EURO CASH;;2001;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1125;JOKER G;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0087
1126;TUNING RIO G;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0088
1128;DOUBLE POWER;;2001;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1129;ENERGY PLUS;;2001;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1130;SUNNY GOLD;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1131;BW083;ROTOTRON SCOOTER;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1132;GOLDEN GATE G;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1133;ROTOTRON POWER RISC;;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1134;ROTOTRON FUN RISC;;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1135;RODEO G;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0094
1136;ANNO TOBAK G;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0084
1137;BW095;ROTOTRON INKA GOLD;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1138;TRIOMINT HELIOS;;2001;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1140;MERKUR STRATOS;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0074
1142;TROJA;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1144;BW072;ROTOTRON LORD CD;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1145;TRIOMINT RENO;;2001;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1146;PANTHER SUPER WILLY;;2001;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1147;BW066;ROTOTRON BIG RISC;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1148;BW087;ROTOTRON DIAMANT KRONE;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1149;BW110;ROTOTRON CARAT;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1150;TOM TOM;;2001;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1151;ROTOTRON KING CLASSIC;;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1152;ALSUNA;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0089
1153;EURO STAR;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0098
1154;MERKUR TRIPLE POKER;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0025
1155;ROTAMINT BIG BANG;;2001;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1156;PANTHER BOOM TOWM;;2001;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1157;SAM;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8041
1158;PLAYERS INN;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8042
1160;MAXIMUMM CLASSIC;;2001;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1161;ROTOTRON JUMPIN JACK;;2001;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1162;PRISMA;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1163;ENERGY;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1164;GOLD CUP;;2001;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8042
1165;DYNASTY;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8043
1166;STERNTALER;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1167;CROWN 1000;;2002;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1168;GAMEBOX SUNDAY;;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1169;ROTRON KRONENSPIEL;;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1170;MERKUR GOLD CUP;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0095
1171;MERKUR ALSUNA;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0089
1172;BW092;ROTOTRON LIMBO;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1173;BW114;ROTOTRON BARON CC;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1176;BW101;GAMEBOX SKY;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1177;ROTOTRON GIGA CC;;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1178;MERKUR STRATOS;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0074
1179;MEGA 199;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8045
1180;MERKUR JOKER G;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0087
1182;CROWN ACTION SPECIAL;;2002;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1183;LIFE;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8064
1184;MERKUR EURO STAR;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0098
1185;MERKUR STRATOS FRUIT;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0074
1186;PANTHER BORA BORA K;;2002;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1188;MEGA 199 MC;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8045
1189;BW107;ROTOTRON FLAMENCO;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1190;ROTAMINT FUN FUN;;2002;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1192;TRIOMINT JUMPER;;2002;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
1193;DYNASTY S;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8043
1194;NEXT GENERATION;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x8050
1196;BW125;HEROS;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1198;BEACH CLUB;;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1199;WORLD CUP;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0119
1200;TAIFUN;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;0x0118
1201;CROWN 7A SC;;2002;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1202;LIGHTHOUSE;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
1203;ROY CC;;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;Ident
1204;CROWN 7A PLUS;;2002;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
1205;ROTOTRON TWISTER II;;2002;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
1206;DISC 200;;2002;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
