Bauartnummer;Bauartname;Spielname;Datum;Zulassungsinhaber;Fehler;TR-Version;ZL-Daten
585;Crown Maxi 400;;1993;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
586;Rototron Turnier;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
587;Mega Twenty One 400;;1993;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
588;Big 7;;1993;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
590;Safari Club;;1993;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
591;Merkur Action;;1993;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
592;Rototron Arcon 400;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
593;Rototron Apollo;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
594;Rototron Titan 400;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
595;Disc Mystery;;1993;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
596;Rotamint Take 7 Gala;;1993;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
597;Rototron Trucker;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
598;Fortuna Limit;;1993;Playmont Flip-Inn Spielautomaten Service- und Handels GmbH, 34117 Kassel, Deutschland;;TR;
599;Power;;1993;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
600;Crown Energy;;1993;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
601;Rototron Dynamic 400;;1993;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
603;Goldmint Oasis;;1993;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
604;Master;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
605;Mega Fifty Five;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
606;Bube Dame König;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
607;Cross;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
608;Nova Winner;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
609;Goldmint Lambada;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
610;Rototron Monopoly;;1994;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
611;Smaragd;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
613;Rototron Hot Slot;;1994;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
614;Ballys Würfel;;1994;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
615;Grand Hand;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
616;Unimint Tropica;;1994;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
617;Crown Riva;;1994;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
618;Vulkan;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
619;Disc Jackpot;;1994;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
